weight_class,title_fight,card_section,card_position,event_venue_country,red_age,blue_age,red_height,blue_height,red_reach,blue_reach,red_stance,blue_stance,red_prior_fights,blue_prior_fights,red_prior_wins,blue_prior_wins,red_prior_win_rate,blue_prior_win_rate,red_prior_finish_wins,blue_prior_finish_wins,red_prior_finish_rate,blue_prior_finish_rate,red_prior_avg_duration,blue_prior_avg_duration,red_days_since_last_fight,blue_days_since_last_fight,age_diff,height_diff,reach_diff,prior_fights_diff,prior_win_rate_diff,prior_finish_rate_diff,prior_avg_duration_diff,days_since_last_fight_diff,stance_matchup,y_red_win
FEATHERWEIGHT,0,PRELIMS,6,Brazil,34.69404517453799,25.037645448323065,180.34,172.72,180.34,175.26,orthodox,orthodox,,,,,,,,,,,,,,,9.656399726214925,7.6200000000000045,5.0800000000000125,,,,,,orthodox_vs_orthodox,0
BANTAMWEIGHT,0,PRELIMS,12,Brazil,32.75838466803559,34.47501711156742,170.18,162.56,181.61,182.88,orthodox,orthodox,,,,,,,,,,,,,,,-1.7166324435318288,7.6200000000000045,-1.2699999999999818,,,,,,orthodox_vs_orthodox,1
W_STRAWWEIGHT,0,PRELIMS,11,Brazil,27.603011635865844,39.98904859685147,157.48,160.02,160.02,162.56,orthodox,orthodox,,,,,,,,,,,,,,,-12.386036960985624,-2.5400000000000205,-2.539999999999992,,,,,,orthodox_vs_orthodox,1
FLYWEIGHT,0,PRELIMS,10,Brazil,25.163586584531142,30.934976043805612,160.02,165.1,162.56,166.37,orthodox,orthodox,,,,,,,,,,,,,,,-5.77138945927447,-5.079999999999984,-3.8100000000000023,,,,,,orthodox_vs_orthodox,1
W_BANTAMWEIGHT,0,PRELIMS,9,Brazil,,35.290896646132786,162.56,172.72,167.64,170.18,,orthodox,,,,,,,,,,,,,,,,-10.159999999999997,-2.5400000000000205,,,,,,Unknown_vs_orthodox,1
HEAVYWEIGHT,0,PRELIMS,8,Brazil,28.12046543463381,30.535249828884325,187.96,185.42,196.85,187.96,orthodox,southpaw,,,,,,,,,,,,,,,-2.414784394250514,2.5400000000000205,8.889999999999986,,,,,,orthodox_vs_southpaw,1
FLYWEIGHT,0,PRELIMS,7,Brazil,32.435318275154,29.338809034907598,170.18,167.64,173.99,167.64,orthodox,orthodox,,,,,,,,,,,,,,,3.096509240246405,2.5400000000000205,6.350000000000023,,,,,,orthodox_vs_orthodox,1
FEATHERWEIGHT,0,MAIN_CARD,5,Brazil,30.195756331279945,32.31211498973306,175.26,170.18,182.88,167.64,orthodox,orthodox,,,,,,,,,,,,,,,-2.116358658453116,5.079999999999984,15.240000000000009,,,,,,orthodox_vs_orthodox,0
HEAVYWEIGHT,0,MAIN_CARD,4,Brazil,34.3025325119781,27.578370978781656,193.04,195.58,201.93,200.66,orthodox,orthodox,,,,,,,,,,,,,,,6.724161533196444,-2.5400000000000205,1.2700000000000102,,,,,,orthodox_vs_orthodox,0
WELTERWEIGHT,0,MAIN_CARD,3,Brazil,33.87268993839836,32.610540725530456,180.34,190.5,191.77,195.58,orthodox,orthodox,,,,,,,,,,,,,,,1.2621492128679037,-10.159999999999997,-3.8100000000000023,,,,,,orthodox_vs_orthodox,0
