fighter_id,name,height,weight,age,dob,gender,weight_class,reach,stance,style,gym,country
3332412,Islam Makhachev,177.8,70.31,33.0,1991-10-27,male,welterweight,179.07,southpaw,wrestling,eagles mma,russia
4350762,Zhang Weili,162.56,52.16,36.0,1989-08-13,female,womens-flyweight,160.02,switch,muay thai,beijing black tiger,china
4294832,Carlos Prates,185.42,77.11,32.0,1993-08-17,male,welterweight,198.12,switch,striker,fighting nerds,brazil
4243624,Tracy Cortez,165.1,56.7,31.0,1993-12-10,female,womens-flyweight,166.37,orthodox,mixed martial artist,fight ready,usa
4690541,Gregory Rodrigues,190.5,83.91,33.0,1992-02-17,male,middleweight,190.5,orthodox,grappling,kill cliff fc,brazil
4426250,Rodolfo Vieira,182.88,83.91,36.0,1989-09-25,male,middleweight,185.42,orthodox,brazilian jiu-jitsu,fighting nerds,brazil
2478987,Eric McConico,182.88,92.53,35.0,1990-05-09,male,middleweight,195.58,southpaw,,mma lab,usa
5028019,Fatima Kline,167.64,52.16,25.0,2000-07-12,female,womens-strawweight,171.45,orthodox,,silver fox bjj,usa
2553261,Gerald Meerschaert,185.42,83.91,37.0,1987-12-18,male,middleweight,195.58,southpaw,brazilian jiu-jitsu,kill cliff fc,usa
4916251,Jacqueline Cavalcanti,172.72,60.78,28.0,1997-08-29,female,womens-bantamweight,177.8,orthodox,striker,syndicate mma,portugal
4963343,Denise Gomes,157.48,52.16,25.0,1999-12-30,female,womens-strawweight,160.02,orthodox,mixed martial artist,parana vale tudo,brazil
4897850,David Onama,180.34,66.22,31.0,1994-06-07,male,featherweight,187.96,orthodox,mixed martial artist,factoryx muay thai,uganda
3041315,Ante Delija,193.04,108.41,35.0,1990-08-07,male,heavyweight,200.66,orthodox,,cro cop squad gym,croatia
5134399,Nick Klein,185.42,84.37,30.0,1995-09-08,male,middleweight,195.58,orthodox,,pura vida bjj,usa
5213179,Yadier del Valle,175.26,65.77,29.0,1996-07-29,male,featherweight,175.26,southpaw,,gracie barra westchase,cuba
4426000,Ciryl Gane,193.04,111.13,35.0,1990-04-12,male,heavyweight,205.74,orthodox,striker,mma factory,france
4021217,Mackenzie Dern,162.56,52.62,32.0,1993-03-24,female,womens-strawweight,160.02,orthodox,brazilian jiu-jitsu,rvca ,brazil
4410868,Mario Bautista,175.26,61.23,32.0,1993-07-01,male,bantamweight,175.26,switch,freestyle,mma lab,usa
4873640,Jailton Almeida,190.5,106.59,34.0,1991-06-26,male,heavyweight,200.66,orthodox,boxing,galpao da luta,brazil
4227265,Azamat Murzakanov,177.8,92.99,36.0,1989-04-12,male,lightheavyweight,181.61,southpaw,striker,k dojo,russia
4275043,JunYong Park,177.8,84.37,34.0,1991-02-27,male,middleweight,185.42,orthodox,boxing,korean top team,korea
5170144,Matheus Camilo,177.8,70.31,24.0,2001-01-02,male,lightweight,175.26,orthodox,,xtreme couture,brazil
2960757,Chris Barnett,175.26,119.75,39.0,1986-06-14,male,heavyweight,190.5,orthodox,taekwondo,hardcore gym,spain
4815978,Mitch Raposo,165.1,57.15,26.0,1998-10-16,male,flyweight,163.83,switch,mixed martial artist,regiment traing center,usa
3027998,Mizuki,160.02,52.16,31.0,1994-08-19,female,womens-strawweight,165.1,orthodox,brazilian jiu-jitsu,serra-longo fight team ,japan
5223435,Jose Miguel Delgado,180.34,65.77,27.0,1998-04-21,male,featherweight,187.96,switch,,mma lab,usa
4025699,Brendan Allen,187.96,83.91,29.0,1995-12-28,male,middleweight,190.5,orthodox,brazilian jiu-jitsu,kill cliff fc,usa
3165120,Mike Malott,185.42,77.56,33.0,1991-11-07,male,welterweight,185.42,orthodox,mixed martial artist,niagara top team,canada
4079149,Aiemann Zahabi,172.72,64.41,37.0,1987-11-19,male,bantamweight,173.99,orthodox,striker,tristar gym,canada
4835135,Jasmine Jasudavicius,170.18,56.25,36.0,1989-03-01,female,womens-flyweight,172.72,orthodox,brawler,niagara top team,canada
