uid,fight_id,event_id,event_date,event_name,promotion,fighter_id,fighter_name,fight_result,opponent_id,opponent_name,title_fight,fight_end_round,fight_result_type,fight_duration,over_2_5
s:3301~l:3321~e:600051442~c:401751541,600051442-4873640-3028863,600051442,2025-01-18,UFC 311,UFC,3332412,islam makhachev,W,3028863,renato moicano,True,1,SUBMISSION,4.08,False
s:3301~l:3321~e:600044413~c:401652641,600044413-4873640-2506549,600044413,2024-06-01,UFC 302,UFC,3332412,islam makhachev,W,2506549,dustin poirier,True,5,SUBMISSION,22.7,True
s:3301~l:3321~e:600031832~c:401534648,600031832-3949584-4873640,600031832,2023-10-21,UFC 294,UFC,3332412,islam makhachev,W,3949584,alexander volkanovski,True,1,KO-TKO,3.1,False
s:3301~l:3321~e:600025531~c:401498612,600025531-3949584-4873640,600025531,2023-02-11,UFC 284,UFC,3332412,islam makhachev,W,3949584,alexander volkanovski,True,5,DEC-UNA,25.0,True
s:3301~l:3321~e:600017767~c:401423650,600017767-4873640-2504169,600017767,2022-10-22,UFC 280,UFC,3332412,islam makhachev,W,2504169,charles oliveira,True,2,SUBMISSION,8.27,False
s:3301~l:3321~e:600014327~c:401396271,600014327-4873640-2502364,600014327,2022-02-26,UFC Fight Night,UFC,3332412,islam makhachev,W,2502364,king green,False,1,KO-TKO,3.38,False
s:3301~l:3321~e:600009660~c:401379570,600009660-4873640-3109135,600009660,2021-10-30,UFC 267,UFC,3332412,islam makhachev,W,3109135,dan hooker,False,1,SUBMISSION,2.42,False
s:3301~l:3321~e:600006953~c:401334701,600006953-3955778-4873640,600006953,2021-07-17,UFC Fight Night,UFC,3332412,islam makhachev,W,3955778,thiago moises,False,4,SUBMISSION,17.63,True
s:3301~l:3321~e:600001860~c:401289255,600001860-4873640-2951202,600001860,2021-03-06,UFC 259,UFC,3332412,islam makhachev,W,2951202,drew dober,False,3,SUBMISSION,11.620000000000001,False
s:3301~l:3321~e:401129626~c:267839,401129626-4873640-3114625,401129626,2019-09-07,UFC 242,UFC,3332412,islam makhachev,W,3114625,davi ramos,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:401107794~c:263434,401107794-4419372-4873640,401107794,2019-04-20,UFC Fight Night,UFC,3332412,islam makhachev,W,4419372,arman tsarukyan,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:401030616~c:247593,401030616-4873640-2501539,401030616,2018-07-28,UFC Fight Night,UFC,3332412,islam makhachev,W,2501539,kajan johnson,False,1,SUBMISSION,4.72,False
s:3301~l:3321~e:400999430~c:241473,400999430-4873640-2354336,400999430,2018-01-20,UFC 220,UFC,3332412,islam makhachev,W,2354336,gleison tibau,False,1,KO-TKO,0.95,False
s:3301~l:3321~e:400925788~c:231750,400925788-4873640-2504229,400925788,2017-02-12,UFC 208,UFC,3332412,islam makhachev,W,2504229,nik lentz,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:400893902~c:226637,400893902-4873640-3027534,400893902,2016-09-18,UFC Fight Night,UFC,3332412,islam makhachev,W,3027534,chris wade,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:400607638~c:216394,400607638-4873640-2501489,400607638,2015-10-03,UFC 192,UFC,3332412,islam makhachev,L,2501489,adriano martins,False,1,KO-TKO,1.77,False
s:3301~l:3321~e:400607621~c:209528,400607621-4873640-3114427,400607621,2015-05-23,UFC 187,UFC,3332412,islam makhachev,W,3114427,leo kuntz,False,2,SUBMISSION,7.63,False
s:3301~l:3321~e:600050481~c:401737156,600050481-4426000-4020435,600050481,2025-02-08,UFC 312,UFC,4350762,zhang weili,W,4020435,tatiana suarez,True,5,DEC-UNA,25.0,True
s:3301~l:3321~e:600041053~c:401629521,600041053-4426000-4275487,600041053,2024-04-13,UFC 300,UFC,4350762,zhang weili,W,4275487,yan xiaonan,True,5,DEC-UNA,25.0,True
s:3301~l:3321~e:600034053~c:401548527,600034053-4426000-4233196,600034053,2023-08-19,UFC 292,UFC,4350762,zhang weili,W,4233196,amanda lemos,True,5,DEC-UNA,25.0,True
s:3301~l:3321~e:600023427~c:401467666,600023427-4426000-2559934,600023427,2022-11-12,UFC 281,UFC,4350762,zhang weili,W,2559934,carla esparza,True,2,SUBMISSION,6.08,False
s:3301~l:3321~e:600018247~c:401430125,600018247-4426000-3106617,600018247,2022-06-11,UFC 275,UFC,4350762,zhang weili,W,3106617,joanna jedrzejczyk,False,2,KO-TKO,7.470000000000001,False
s:3301~l:3321~e:600010313~c:401362003,600010313-4426000-3032973,600010313,2021-11-06,UFC 268,UFC,4350762,zhang weili,L,3032973,rose namajunas,True,5,DEC-SPLT,25.0,True
s:3301~l:3321~e:600004360~c:401310786,600004360-4426000-3032973,600004360,2021-04-24,UFC 261,UFC,4350762,zhang weili,L,3032973,rose namajunas,True,1,KO-TKO,1.3,False
s:3301~l:3321~e:401189215~c:275979,401189215-4426000-3106617,401189215,2020-03-08,UFC 248,UFC,4350762,zhang weili,W,3106617,joanna jedrzejczyk,True,5,DEC-SPLT,25.0,True
s:3301~l:3321~e:401131738~c:266327,401131738-4426000-3024395,401131738,2019-08-31,UFC Fight Night,UFC,4350762,zhang weili,W,3024395,jessica andrade,True,1,KO-TKO,0.7,False
s:3301~l:3321~e:401098399~c:258134,401098399-4426000-3032972,401098399,2019-03-02,UFC 235,UFC,4350762,zhang weili,W,3032972,tecia pennington,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:401053587~c:255635,401053587-4426000-2559933,401053587,2018-11-24,UFC Fight Night,UFC,4350762,zhang weili,W,2559933,jessica aguilar,False,1,SUBMISSION,3.68,False
