"event_id","event_uid","event_name","event_long_name","event_date","card_section","card_position","fight_id","fight_uid","weight_class","title_fight","title","red_corner_id","red_corner_uid","red_corner","blue_corner_id","blue_corner_uid","blue_corner","fight_completed","fight_end_round","fight_end_clock","fight_outcome","fight_winner","event_venue_id","event_venue","event_venue_city","event_venue_state","event_venue_country","referee_id","referee","judge_one_id","judge_one","judge_one_card","judge_two_id","judge_two","judge_two_card","judge_three_id","judge_three","judge_three_card"
"600056266",s:3301~l:3321~e:600056266,UFC Fight Night,UFC Fight Night: Royval vs. Kape,"2025-12-13",MAIN_CARD,1,"401830372",s:3301~l:3321~e:600056266~c:401830372,FLYWEIGHT,0,,"4239928",s:3301~a:4239928,Brandon Royval,"4236504",s:3301~a:4236504,Manel Kape,0,0,"0.0",,,"6176",UFC APEX,Las Vegas,NV,USA,,,,,,,,,,,
"600056375",s:3301~l:3321~e:600056375,UFC 323,UFC 323: Dvalishvili vs. Yan 2,"2025-12-06",MAIN_CARD,1,"401831048",s:3301~l:3321~e:600056375~c:401831048,BANTAMWEIGHT,1,BANTAMWEIGHT_TITLE,"3948572",s:3301~a:3948572,Merab Dvalishvili,"4293517",s:3301~a:4293517,Petr Yan,0,0,"0.0",,,"5060",T-Mobile Arena,Las Vegas,NV,USA,,,,,,,,,,,
"600056375",s:3301~l:3321~e:600056375,UFC 323,UFC 323: Dvalishvili vs. Yan 2,"2025-12-06",MAIN_CARD,2,"401831049",s:3301~l:3321~e:600056375~c:401831049,FLYWEIGHT,1,FLYWEIGHT_TITLE,"2560746",s:3301~a:2560746,Alexandre Pantoja,"5120301",s:3301~a:5120301,Joshua Van,0,0,"0.0",,,"5060",T-Mobile Arena,Las Vegas,NV,USA,,,,,,,,,,,
"600056375",s:3301~l:3321~e:600056375,UFC 323,UFC 323: Dvalishvili vs. Yan 2,"2025-12-06",MAIN_CARD,3,"401831054",s:3301~l:3321~e:600056375~c:401831054,BANTAMWEIGHT,1,BANTAMWEIGHT_TITLE,"3023388",s:3301~a:3023388,Henry Cejudo,"5144008",s:3301~a:5144008,Payton Talbott,0,0,"0.0",,,"5060",T-Mobile Arena,Las Vegas,NV,USA,,,,,,,,,,,
"600056375",s:3301~l:3321~e:600056375,UFC 323,UFC 323: Dvalishvili vs. Yan 2,"2025-12-06",MAIN_CARD,4,"401831055",s:3301~l:3321~e:600056375~c:401831055,LIGHT_HEAVYWEIGHT,0,,"2506250",s:3301~a:2506250,Jan Blachowicz,"5152109",s:3301~a:5152109,Bogdan Guskov,0,0,"0.0",,,"5060",T-Mobile Arena,Las Vegas,NV,USA,,,,,,,,,,,
"600056375",s:3301~l:3321~e:600056375,UFC 323,UFC 323: Dvalishvili vs. Yan 2,"2025-12-06",MAIN_CARD,5,"401831070",s:3301~l:3321~e:600056375~c:401831070,FLYWEIGHT,0,,"3027545",s:3301~a:3027545,Brandon Moreno,"4917772",s:3301~a:4917772,Tatsuro Taira,0,0,"0.0",,,"5060",T-Mobile Arena,Las Vegas,NV,USA,,,,,,,,,,,
"600056375",s:3301~l:3321~e:600056375,UFC 323,UFC 323: Dvalishvili vs. Yan 2,"2025-12-06",PRELIMS,6,"401831056",s:3301~l:3321~e:600056375~c:401831056,LIGHTWEIGHT,0,,"5074130",s:3301~a:5074130,Nazim Sadykhov,"4083018",s:3301~a:4083018,Fares Ziam,0,0,"0.0",,,"5060",T-Mobile Arena,Las Vegas,NV,USA,,,,,,,,,,,
"600055175",s:3301~l:3321~e:600055175,UFC Fight Night,UFC Fight Night: Tsarukyan vs. Hooker,"2025-11-22",PRELIMS,6,"401830354",s:3301~l:3321~e:600055175~c:401830354,FLYWEIGHT,0,,"3155425",s:3301~a:3155425,Alex Perez,"4294926",s:3301~a:4294926,Asu Almabayev,0,0,"0.0",,,"11560",ABHA Arena,Doha,,Qatar,,,,,,,,,,,
"600055175",s:3301~l:3321~e:600055175,UFC Fight Night,UFC Fight Night: Tsarukyan vs. Hooker,"2025-11-22",PRELIMS,12,"401830939",s:3301~l:3321~e:600055175~c:401830939,WELTERWEIGHT,0,,"3074102",s:3301~a:3074102,Jack Hermansson,"5050129",s:3301~a:5050129,Myktybek Orolbai,0,0,"0.0",,,"11560",ABHA Arena,Doha,,Qatar,,,,,,,,,,,
"600055175",s:3301~l:3321~e:600055175,UFC Fight Night,UFC Fight Night: Tsarukyan vs. Hooker,"2025-11-22",PRELIMS,11,"401830358",s:3301~l:3321~e:600055175~c:401830358,FLYWEIGHT,0,,"4294924",s:3301~a:4294924,Tagir Ulanbekov,"2613374",s:3301~a:2613374,Kyoji Horiguchi,0,0,"0.0",,,"11560",ABHA Arena,Doha,,Qatar,,,,,,,,,,,
"600055175",s:3301~l:3321~e:600055175,UFC Fight Night,UFC Fight Night: Tsarukyan vs. Hooker,"2025-11-22",PRELIMS,10,"401830357",s:3301~l:3321~e:600055175~c:401830357,MIDDLEWEIGHT,0,,"4412813",s:3301~a:4412813,Ismail Naurdiev,"5204226",s:3301~a:5204226,Ryan Loder,0,0,"0.0",,,"11560",ABHA Arena,Doha,,Qatar,,,,,,,,,,,
"600055175",s:3301~l:3321~e:600055175,UFC Fight Night,UFC Fight Night: Tsarukyan vs. Hooker,"2025-11-22",PRELIMS,9,"401830350",s:3301~l:3321~e:600055175~c:401830350,FEATHERWEIGHT,0,,"5144006",s:3301~a:5144006,Bogdan Grad,"5146696",s:3301~a:5146696,Luke Riley,0,0,"0.0",,,"11560",ABHA Arena,Doha,,Qatar,,,,,,,,,,,
"600055175",s:3301~l:3321~e:600055175,UFC Fight Night,UFC Fight Night: Tsarukyan vs. Hooker,"2025-11-22",PRELIMS,8,"401830356",s:3301~l:3321~e:600055175~c:401830356,LIGHT_HEAVYWEIGHT,0,,"5291025",s:3301~a:5291025,Abdul-Rakhman Yakhyaev,"5212598",s:3301~a:5212598,Rafael Cerqueira,0,0,"0.0",,,"11560",ABHA Arena,Doha,,Qatar,,,,,,,,,,,
"600055175",s:3301~l:3321~e:600055175,UFC Fight Night,UFC Fight Night: Tsarukyan vs. Hooker,"2025-11-22",PRELIMS,7,"401830355",s:3301~l:3321~e:600055175~c:401830355,HEAVYWEIGHT,0,,"4421246",s:3301~a:4421246,Serghei Spivac,"5145498",s:3301~a:5145498,Shamil Gaziev,0,0,"0.0",,,"11560",ABHA Arena,Doha,,Qatar,,,,,,,,,,,
"600055175",s:3301~l:3321~e:600055175,UFC Fight Night,UFC Fight Night: Tsarukyan vs. Hooker,"2025-11-22",MAIN_CARD,5,"401830351",s:3301~l:3321~e:600055175~c:401830351,BANTAMWEIGHT,0,,"5196459",s:3301~a:5196459,Bekzat Almakhan,"5185662",s:3301~a:5185662,Aleksandre Topuria,0,0,"0.0",,,"11560",ABHA Arena,Doha,,Qatar,,,,,,,,,,,
"600055175",s:3301~l:3321~e:600055175,UFC Fight Night,UFC Fight Night: Tsarukyan vs. Hooker,"2025-11-22",MAIN_CARD,4,"401830353",s:3301~l:3321~e:600055175~c:401830353,BANTAMWEIGHT,0,,"5101694",s:3301~a:5101694,Felipe Lima,"5088886",s:3301~a:5088886,Daniel Marcos,0,0,"0.0",,,"11560",ABHA Arena,Doha,,Qatar,,,,,,,,,,,
"600055175",s:3301~l:3321~e:600055175,UFC Fight Night,UFC Fight Night: Tsarukyan vs. Hooker,"2025-11-22",MAIN_CARD,3,"401830352",s:3301~l:3321~e:600055175~c:401830352,LIGHT_HEAVYWEIGHT,0,,"3110836",s:3301~a:3110836,Volkan Oezdemir,"3948876",s:3301~a:3948876,Alonzo Menifield,0,0,"0.0",,,"11560",ABHA Arena,Doha,,Qatar,,,,,,,,,,,
"600055175",s:3301~l:3321~e:600055175,UFC Fight Night,UFC Fight Night: Tsarukyan vs. Hooker,"2025-11-22",MAIN_CARD,2,"401800344",s:3301~l:3321~e:600055175~c:401800344,WELTERWEIGHT,0,,"3172112",s:3301~a:3172112,Belal Muhammad,"4738092",s:3301~a:4738092,Ian Machado Garry,0,0,"0.0",,,"11560",ABHA Arena,Doha,,Qatar,,,,,,,,,,,
"600055175",s:3301~l:3321~e:600055175,UFC Fight Night,UFC Fight Night: Tsarukyan vs. Hooker,"2025-11-22",MAIN_CARD,1,"401800343",s:3301~l:3321~e:600055175~c:401800343,LIGHTWEIGHT,0,,"4419372",s:3301~a:4419372,Arman Tsarukyan,"3109135",s:3301~a:3109135,Dan Hooker,0,0,"0.0",,,"11560",ABHA Arena,Doha,,Qatar,,,,,,,,,,,
"600055729",s:3301~l:3321~e:600055729,UFC 322,UFC 322: Della Maddalena vs. Makhachev,"2025-11-15",MAIN_CARD,2,"401817809",s:3301~l:3321~e:600055729~c:401817809,W_FLYWEIGHT,1,UFC_WOMEN'S_FLYWEIGHT_TITLE,"2554705",s:3301~a:2554705,Valentina Shevchenko,"4350762",s:3301~a:4350762,Zhang Weili,0,0,"0.0",,,"1830",Madison Square Garden,New York,NY,USA,,,,,,,,,,,
"600055729",s:3301~l:3321~e:600055729,UFC 322,UFC 322: Della Maddalena vs. Makhachev,"2025-11-15",EARLY_PRELIMS,10,"401817812",s:3301~l:3321~e:600055729~c:401817812,W_STRAWWEIGHT,0,,"3115931",s:3301~a:3115931,Angela Hill,"5028019",s:3301~a:5028019,Fatima Kline,0,0,"0.0",,,"1830",Madison Square Garden,New York,NY,USA,,,,,,,,,,,
"600055729",s:3301~l:3321~e:600055729,UFC 322,UFC 322: Della Maddalena vs. Makhachev,"2025-11-15",PRELIMS,9,"401825596",s:3301~l:3321~e:600055729~c:401825596,MIDDLEWEIGHT,0,,"4329444",s:3301~a:4329444,Kyle Daukaus,"2553261",s:3301~a:2553261,Gerald Meerschaert,0,0,"0.0",,,"1830",Madison Square Garden,New York,NY,USA,,,,,,,,,,,
"600055729",s:3301~l:3321~e:600055729,UFC 322,UFC 322: Della Maddalena vs. Makhachev,"2025-11-15",PRELIMS,8,"401823577",s:3301~l:3321~e:600055729~c:401823577,MIDDLEWEIGHT,0,,"5296753",s:3301~a:5296753,Baisangur Susurkaev,"2478987",s:3301~a:2478987,Eric McConico,0,0,"0.0",,,"1830",Madison Square Garden,New York,NY,USA,,,,,,,,,,,
"600055729",s:3301~l:3321~e:600055729,UFC 322,UFC 322: Della Maddalena vs. Makhachev,"2025-11-15",PRELIMS,6,"401824587",s:3301~l:3321~e:600055729~c:401824587,MIDDLEWEIGHT,0,,"5061870",s:3301~a:5061870,Bo Nickal,"4426250",s:3301~a:4426250,Rodolfo Vieira,0,0,"0.0",,,"1830",Madison Square Garden,New York,NY,USA,,,,,,,,,,,
"600055729",s:3301~l:3321~e:600055729,UFC 322,UFC 322: Della Maddalena vs. Makhachev,"2025-11-15",PRELIMS,5,"401824586",s:3301~l:3321~e:600055729~c:401824586,MIDDLEWEIGHT,0,,"4300149",s:3301~a:4300149,Roman Kopylov,"4690541",s:3301~a:4690541,Gregory Rodrigues,0,0,"0.0",,,"1830",Madison Square Garden,New York,NY,USA,,,,,,,,,,,
"600055729",s:3301~l:3321~e:600055729,UFC 322,UFC 322: Della Maddalena vs. Makhachev,"2025-11-15",MAIN_CARD,10,"401830052",s:3301~l:3321~e:600055729~c:401830052,LIGHTWEIGHT,0,,"3085551",s:3301~a:3085551,Beneil Dariush,"4895362",s:3301~a:4895362,Benoit Saint Denis,0,0,"0.0",,,"1830",Madison Square Garden,New York,NY,USA,,,,,,,,,,,
"600055729",s:3301~l:3321~e:600055729,UFC 322,UFC 322: Della Maddalena vs. Makhachev,"2025-11-15",MAIN_CARD,4,"401824585",s:3301~l:3321~e:600055729~c:401824585,W_FLYWEIGHT,0,,"4350796",s:3301~a:4350796,Erin Blanchfield,"4243624",s:3301~a:4243624,Tracy Cortez,0,0,"0.0",,,"1830",Madison Square Garden,New York,NY,USA,,,,,,,,,,,
"600055729",s:3301~l:3321~e:600055729,UFC 322,UFC 322: Della Maddalena vs. Makhachev,"2025-11-15",MAIN_CARD,3,"401817810",s:3301~l:3321~e:600055729~c:401817810,WELTERWEIGHT,0,,"3152929",s:3301~a:3152929,Leon Edwards,"4294832",s:3301~a:4294832,Carlos Prates,0,0,"0.0",,,"1830",Madison Square Garden,New York,NY,USA,,,,,,,,,,,
"600055729",s:3301~l:3321~e:600055729,UFC 322,UFC 322: Della Maddalena vs. Makhachev,"2025-11-15",MAIN_CARD,1,"401817808",s:3301~l:3321~e:600055729~c:401817808,WELTERWEIGHT,1,UFC_WELTERWEIGHT_TITLE,"4828707",s:3301~a:4828707,Jack Della Maddalena,"3332412",s:3301~a:3332412,Islam Makhachev,0,0,"0.0",,,"1830",Madison Square Garden,New York,NY,USA,,,,,,,,,,,
"600056160",s:3301~l:3321~e:600056160,UFC Fight Night,UFC Fight Night: Bonfim vs. Brown,"2025-11-08",MAIN_CARD,1,"401828767",s:3301~l:3321~e:600056160~c:401828767,WELTERWEIGHT,0,,"4921516",s:3301~a:4921516,Gabriel Bonfim,"3960071",s:3301~a:3960071,Randy Brown,0,0,"0.0",,,"6176",UFC APEX,Las Vegas,NV,USA,,,,,,,,,,,
"600056160",s:3301~l:3321~e:600056160,UFC Fight Night,UFC Fight Night: Bonfim vs. Brown,"2025-11-08",PRELIMS,2,"401828768",s:3301~l:3321~e:600056160~c:401828768,W_BANTAMWEIGHT,0,,"4371001",s:3301~a:4371001,Mayra Bueno Silva,"4916251",s:3301~a:4916251,Jacqueline Cavalcanti,0,0,"0.0",,,"6176",UFC APEX,Las Vegas,NV,USA,,,,,,,,,,,
"600056160",s:3301~l:3321~e:600056160,UFC Fight Night,UFC Fight Night: Bonfim vs. Brown,"2025-11-08",PRELIMS,3,"401828769",s:3301~l:3321~e:600056160~c:401828769,W_FLYWEIGHT,0,,"3032972",s:3301~a:3032972,Tecia Pennington,"4963343",s:3301~a:4963343,Denise Gomes,0,0,"0.0",,,"6176",UFC APEX,Las Vegas,NV,USA,,,,,,,,,,,
"600056160",s:3301~l:3321~e:600056160,UFC Fight Night,UFC Fight Night: Bonfim vs. Brown,"2025-11-08",PRELIMS,4,"401829638",s:3301~l:3321~e:600056160~c:401829638,BANTAMWEIGHT,0,,"3998248",s:3301~a:3998248,Adrian Yanez,"4884868",s:3301~a:4884868,Cristian Quinonez,0,0,"0.0",,,"6176",UFC APEX,Las Vegas,NV,USA,,,,,,,,,,,
"600056045",s:3301~l:3321~e:600056045,UFC Fight Night,UFC Fight Night: Garcia vs. Onama,"2025-11-01",MAIN_CARD,5,"401830980",s:3301~l:3321~e:600056045~c:401830980,W_BANTAMWEIGHT,0,,"4039865",s:3301~a:4039865,Ketlen Vieira,"4418784",s:3301~a:4418784,Norma Dumont,0,0,"0.0",,,"6176",UFC APEX,Las Vegas,NV,USA,,,,,,,,,,,
"600056045",s:3301~l:3321~e:600056045,UFC Fight Night,UFC Fight Night: Garcia vs. Onama,"2025-11-01",PRELIMS,13,"401830981",s:3301~l:3321~e:600056045~c:401830981,W_STRAWWEIGHT,0,,"5139556",s:3301~a:5139556,Talita Alencar,"4565903",s:3301~a:4565903,Ariane Carnelossi,0,0,"0.0",,,"6176",UFC APEX,Las Vegas,NV,USA,,,,,,,,,,,
"600056045",s:3301~l:3321~e:600056045,UFC Fight Night,UFC Fight Night: Garcia vs. Onama,"2025-11-01",PRELIMS,12,"401827984",s:3301~l:3321~e:600056045~c:401827984,FEATHERWEIGHT,0,,"4918083",s:3301~a:4918083,Isaac Dulgarian,"5213179",s:3301~a:5213179,Yadier del Valle,0,0,"0.0",,,"6176",UFC APEX,Las Vegas,NV,USA,,,,,,,,,,,
"600056045",s:3301~l:3321~e:600056045,UFC Fight Night,UFC Fight Night: Garcia vs. Onama,"2025-11-01",PRELIMS,11,"401830979",s:3301~l:3321~e:600056045~c:401830979,W_STRAWWEIGHT,0,,"3977988",s:3301~a:3977988,Alice Ardelean,"4399703",s:3301~a:4399703,Montserrat Conejo Ruiz,0,0,"0.0",,,"6176",UFC APEX,Las Vegas,NV,USA,,,,,,,,,,,
"600056045",s:3301~l:3321~e:600056045,UFC Fight Night,UFC Fight Night: Garcia vs. Onama,"2025-11-01",PRELIMS,10,"401830978",s:3301~l:3321~e:600056045~c:401830978,LIGHT_HEAVYWEIGHT,0,,"5078114",s:3301~a:5078114,Billy Elekana,"5216849",s:3301~a:5216849,Kevin Christian,0,0,"0.0",,,"6176",UFC APEX,Las Vegas,NV,USA,,,,,,,,,,,
